Experiment: Fine-tuning LoRA
Timestamp: 20260219_155038
============================================================


============================================================
CONFIG
============================================================

Model: mistralai/Mistral-7B-Instruct-v0.2
Train file: data/data/train.jsonl
Val file: data/data/val.jsonl
Loaded 1264 training samples
Loaded 270 validation samples
Tokenization completed

============================================================
TRAINABLE PARAMETERS
============================================================


============================================================
TRAINING START
============================================================

Step 1 | loss: 2.9574477672576904
Step 1 | grad_norm: 3.3882551193237305
Step 1 | learning_rate: 0.0001
Step 1 | epoch: 0.0031645569620253164
Step 2 | loss: 2.7697806358337402
Step 2 | grad_norm: 2.9032399654388428
Step 2 | learning_rate: 9.989451476793249e-05
Step 2 | epoch: 0.006329113924050633
Step 3 | loss: 2.7895054817199707
Step 3 | grad_norm: 2.3779842853546143
Step 3 | learning_rate: 9.978902953586498e-05
Step 3 | epoch: 0.00949367088607595
Step 4 | loss: 2.2185654640197754
Step 4 | grad_norm: 2.166435718536377
Step 4 | learning_rate: 9.968354430379747e-05
Step 4 | epoch: 0.012658227848101266
Step 5 | loss: 1.8716541528701782
Step 5 | grad_norm: 1.6153186559677124
Step 5 | learning_rate: 9.957805907172997e-05
Step 5 | epoch: 0.015822784810126583
Step 6 | loss: 1.604727864265442
Step 6 | grad_norm: 1.4633501768112183
Step 6 | learning_rate: 9.947257383966246e-05
Step 6 | epoch: 0.0189873417721519
Step 7 | loss: 1.7110391855239868
Step 7 | grad_norm: 1.5541740655899048
Step 7 | learning_rate: 9.936708860759493e-05
Step 7 | epoch: 0.022151898734177215
Step 8 | loss: 1.495940923690796
Step 8 | grad_norm: 1.7573779821395874
Step 8 | learning_rate: 9.926160337552744e-05
Step 8 | epoch: 0.02531645569620253
Step 9 | loss: 1.3479139804840088
Step 9 | grad_norm: 1.8249917030334473
Step 9 | learning_rate: 9.915611814345992e-05
Step 9 | epoch: 0.028481012658227847
Step 10 | loss: 1.5015017986297607
Step 10 | grad_norm: 1.5819759368896484
Step 10 | learning_rate: 9.90506329113924e-05
Step 10 | epoch: 0.03164556962025317
Step 11 | loss: 1.028943419456482
Step 11 | grad_norm: 1.491581678390503
Step 11 | learning_rate: 9.89451476793249e-05
Step 11 | epoch: 0.03481012658227848
Step 12 | loss: 1.029482126235962
Step 12 | grad_norm: 1.524456262588501
Step 12 | learning_rate: 9.883966244725739e-05
Step 12 | epoch: 0.0379746835443038
Step 13 | loss: 0.7445499897003174
Step 13 | grad_norm: 0.9596006274223328
Step 13 | learning_rate: 9.873417721518988e-05
